epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,360.88,1.46241,1.69193,1.2025,0.8323,0.7745,0.83208,0.51984,1.34709,0.92669,1.14935,0.00333065,0.00333065,0.00333065
2,702.427,1.40825,1.09672,1.17269,0.84908,0.81352,0.86745,0.54096,1.31803,0.76943,1.14369,0.00659801,0.00659801,0.00659801
3,1033.34,1.43189,0.99773,1.19352,0.75762,0.73049,0.78648,0.4856,1.40262,0.89079,1.19152,0.00979937,0.00979937,0.00979937
4,1374.54,1.44951,0.94737,1.2057,0.8658,0.8409,0.886,0.5611,1.33031,0.71735,1.1566,0.009703,0.009703,0.009703
5,1704.37,1.40629,0.86728,1.18679,0.86726,0.83238,0.8971,0.57228,1.33858,0.72201,1.16967,0.009604,0.009604,0.009604
6,2042.84,1.37707,0.81716,1.17097,0.89767,0.85771,0.91029,0.58724,1.26999,0.6578,1.12818,0.009505,0.009505,0.009505
7,2383.43,1.3552,0.79013,1.1587,0.90796,0.87636,0.92117,0.61844,1.23953,0.62692,1.11078,0.009406,0.009406,0.009406
8,2726.53,1.33669,0.76641,1.14987,0.90295,0.86927,0.9235,0.61897,1.2238,0.61833,1.10812,0.009307,0.009307,0.009307
9,3071.18,1.32018,0.74994,1.14017,0.90269,0.87124,0.92156,0.62444,1.22225,0.61501,1.10853,0.009208,0.009208,0.009208
10,3422.57,1.30538,0.73,1.13343,0.92273,0.8882,0.93621,0.64229,1.20767,0.58606,1.09501,0.009109,0.009109,0.009109
11,3750.28,1.29987,0.71846,1.12811,0.92698,0.89136,0.94074,0.65033,1.18813,0.57263,1.09011,0.00901,0.00901,0.00901
12,4100.11,1.28518,0.70559,1.12229,0.92362,0.88798,0.93867,0.64854,1.17919,0.56477,1.08018,0.008911,0.008911,0.008911
13,4489.26,1.27523,0.69671,1.11682,0.92827,0.90164,0.94522,0.66193,1.17154,0.55678,1.07541,0.008812,0.008812,0.008812
14,4980.24,1.27209,0.69137,1.11513,0.93567,0.8963,0.94648,0.66485,1.15311,0.55084,1.06913,0.008713,0.008713,0.008713
15,5487.75,1.26255,0.68203,1.1121,0.93134,0.90789,0.94999,0.66674,1.14648,0.53765,1.06669,0.008614,0.008614,0.008614
16,5999.43,1.25624,0.67503,1.10771,0.93585,0.90699,0.95175,0.67835,1.14185,0.53363,1.06395,0.008515,0.008515,0.008515
17,6504.62,1.25144,0.67054,1.10557,0.93554,0.91019,0.95361,0.67613,1.13486,0.52038,1.0613,0.008416,0.008416,0.008416
18,7016.42,1.25294,0.66886,1.10393,0.93782,0.91349,0.95474,0.68608,1.12525,0.52257,1.05516,0.008317,0.008317,0.008317
19,7522.6,1.24085,0.65853,1.09989,0.93747,0.91387,0.95707,0.69216,1.11704,0.50975,1.05098,0.008218,0.008218,0.008218
20,8048.11,1.23522,0.6565,1.09562,0.9396,0.91617,0.9578,0.69199,1.11344,0.51096,1.04804,0.008119,0.008119,0.008119
21,8541.63,1.23427,0.65273,1.09375,0.9396,0.92321,0.96075,0.69786,1.10421,0.50691,1.04448,0.00802,0.00802,0.00802
22,9042.55,1.22377,0.64336,1.09023,0.94376,0.9203,0.9606,0.70115,1.10348,0.50139,1.04244,0.007921,0.007921,0.007921
23,9544.26,1.22384,0.64223,1.08977,0.94286,0.92539,0.96212,0.70361,1.09474,0.49505,1.04089,0.007822,0.007822,0.007822
24,10042.9,1.21811,0.6358,1.0846,0.94548,0.92452,0.96408,0.70759,1.08817,0.49096,1.03671,0.007723,0.007723,0.007723
25,10548.5,1.21175,0.63407,1.08393,0.94403,0.92545,0.96481,0.70906,1.08506,0.48966,1.03665,0.007624,0.007624,0.007624
26,11047.8,1.21375,0.62922,1.08428,0.94555,0.93042,0.9653,0.71511,1.07923,0.48355,1.03306,0.007525,0.007525,0.007525
27,11550.6,1.206,0.62705,1.08087,0.94562,0.93015,0.96691,0.71436,1.07759,0.48147,1.03208,0.007426,0.007426,0.007426
28,12049.1,1.20018,0.62355,1.07923,0.94749,0.9296,0.96681,0.71616,1.07386,0.47866,1.03042,0.007327,0.007327,0.007327
29,12550,1.19783,0.6194,1.07806,0.94612,0.93084,0.96697,0.7191,1.07093,0.47622,1.0293,0.007228,0.007228,0.007228
30,13053.2,1.19662,0.61361,1.07827,0.94409,0.93503,0.96782,0.72249,1.07024,0.46897,1.02724,0.007129,0.007129,0.007129
31,13553.2,1.19563,0.61661,1.07516,0.94823,0.93339,0.96877,0.72182,1.06274,0.4675,1.02463,0.00703,0.00703,0.00703
32,14054.6,1.18818,0.61098,1.07377,0.94951,0.93236,0.96894,0.72535,1.05785,0.46549,1.02231,0.006931,0.006931,0.006931
33,14553.5,1.18547,0.60703,1.07104,0.94742,0.93658,0.96943,0.72686,1.05812,0.46348,1.02195,0.006832,0.006832,0.006832
